,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Timing,,Project Information,,,,,,,,,,,Property Information,,,,,,,Broker Guidence,,,Description,Actual Price,,
25,2022-06-13,IM,Hjulmagervej 12,Jes Rovsing,Coop Invest,CBRE,Denmark,Various,,,,,Logistics,"23,471",365,,,,,,,,"Logistics property in the Triangle Region, multi-let with strong tetants (U.P.S. Danmark, Reitan Distribution and Coop Danmark), WAULT of 5,6 years. ",,,,1
25,2022-06-14,IM,Project Svea,Niklas Torwald,Fastighetsaktiebolaget Ormvråken AB,Novier,Sweden,Köping,,,,,Residential,"3,872","1,513",,,,,,,,Two residentioal properties in Köping with 72 apartments. All apartments have been renovated during 2016-2020.,,,,1
25,2022-06-15,IM,Project Boerkop,Jes Rovsing,n.a.,Proark,Denmark,Børkop,,,,,Logistics,"46,358",392,,,,,,,,Large logistics property located between Vejle and Kolding. Future potential for new dev. of big box retail on the property. Suspect that the property will be fully vacated 1/7-2023,,,,1
25,2022-06-16,Teaser,Meijerikatu 2-4,Mathias Vuorelma,Waasa Kiinteistöt Oy,GEM Brokerage Oy,Finland,Vaasa,,,,,Industrial,"16,060",90,,,,,9.09%,"13,000,000",809,Multi-let light industrial and storage property located in Vaasa close to the city centre. Current occupancy rate is 96% and main tenants include Grano Oy and Posti Oyj. WAULT of 2.2 years.,,,,1
25,2022-06-17,IM,Project Hawk,Carl Rosén,Schroeder Real Estate,CBRE,Sweden,Malmö,,,,,Retail,"7,985","1,649",,,,,,,,"Two modern retail warehouse properties located in the retail park Svågertorp. Fully let to three tenants: Stadium, MediaMarkt and BabyWorld. WAULT 3,5 years.",,,,1
26,2022-06-21,IM,Project Meadow,Carl Rosén,Rubero Täckeråker 1 AB,Croisette,Sweden,Haninge,,,,,Various,"3,074","2,010",,,,,,,,Forward funding of a light industrial asset. 93% occupancy rate (7 tenants). 1-year rental guarantee of the vacant space. Construction expected to start in Q3-2022,,,,1
26,2022-06-21,IM,Project Småland,Carl Rosén,Tätab Fastigheter AB,Rosengren & Co,Sweden,Various,,,,,Industrial,"8,929","1,121",,,,,,,,"Portfolio of three industrial properties in Småland. Largest tenants are Ahlsell AB, Skager Byggmaskiner AB, Hydroscand AB and Rentid AB",,,,1
26,2022-06-21,Teaser,Project Journey,Carl Rosén,Coeli,Nordanö,Sweden,Various,,,,,Various,"44,000",,,,,,,,,"A portfilio of 11 multi-purpose assets in strategic suburban locations in Greater Stockholm and Gothenburg. Potential for future residential development of 140,000 sqm building rights (initiated or ongoing zoning processes on a majority of the properties)",,,,1
27,2022-06-30,Teaser,Project Helen,Mathias Vuorelma,n.a.,Ab J.Finans Oy,Finland,Kotka,,,,,Logistics,"5,336",,,,,,6.90%,"8,000,000","1,499",Logistics center. The property will be completed in August 2022. Fully let to Sulzer Pumps Finland Oy with a 17-year fixed-term lease and a 3-year option,,,,1
27,2022-06-30,Teaser,Bromma Blocks,Carl Rosén,CBRE Investment Management,CBRE,Sweden,Stockholm,,,,,Retail,"57,400",,,,,,,,,"91% occupancy rate, 68 tenants and WAULT of 6.3 years. 50,000 sqm of potential buidling rights",,,,1
27,2022-06-30,Teaser,Sukari portfolio,Mathias Vuorelma,Sukari group,No broker,Finland,Various,,,,,Various,"38,780",139,,,,,,,,"Portfolio of five assets located in Turku (Vahdontie 30), Savonlinna (Shaumannintie 26), Lempäälä (Ideaparkinkatu) and Raisio (Itäniityntie 16 & Allastie 1). Three of the properties offer steady cash flows from day one and two properties offer development opportunities",,,,1
28,2022-07-06,Teaser,Project Helian,David Hävermark,n.a.,Cushman & Wakefield,Sweden,Various,,,,,Retail,"15,816","1,031",,,,,,,,"Portfolio of seven single-let retail properties (fully let to Blomsterlandet) in Enköping, Linköping, Södertälje, Greater Gothenburg, Stenungsund and Hässleholm with 100% indexed linked rental income. WAULT of 12 years ",,,,1
28,2022-07-07,IM,Project Aros,Eric Bergström,Uppsala kommun,Catella,Sweden,Uppsala,,,,,Office,"35,256","1,062",,,,,,,,"Five office and industrial properties located in Boländerna, Uppsala. 48% of area comprises office and 52% comprises retail and industrial space. 96% occupancy rate and estimated NOI of 32mSEK",,,,1
34,2022-08-16,Teaser,Albuen 29,Anthony Romano,AutoCentralen,Hallberg & Olsen,Denmark,Kolding,,,,,Industrial,"16,855",338,,,,,6.00%,"77,500,000","4,598",Well located on E20 and fully let to Alfa Laval who has made large investments into the property with a 6 year WAULT. 80% of area LI and 20% office,,,,1
34,2022-08-16,Teaser,Vassingerødvej 84,Anthony Romano,Rose Holm,Engel & Völkers,Denmark,Lynge,,,,,Industrial,"5,150",485,,,,,6.00%,"35,000,000","6,796",10 year sale leaseback. Located in Lynge situated in between both Lejrvej 23 and Gydevang 25. 96% of area LI',,,,1
34,2022-08-16,Teaser,Projekt Fyrklövern,Josefin Bergholtz,Exploatering City-One AB,Novier,Sweden,Upplands Väsby,,,,,Residential,"5,768","2,063",,,,,,,,Residential property under construction in Upplands Väsby with estimated completion in Q4-2022. 107 apartments (including 13 LSS apartments),,,,1
34,2022-08-18,IM,Public use properties in Klagshamn,Josefin Bergholtz,Copenhagen Management,Catella,Sweden,"Klagshamn, Malmö",,,,,Various,"2,939","1,911",,,,,,,,Two public use properties located in Klagshamn (a few kilometres south of Malmö). One of the properties consist of 14 apartments as well as a preschool whereas the other property only consist of a preschool ,,,,1
34,2022-08-18,Lead,Residential property in Kungsbacka,Josefin Bergholtz,n.a.,Newsec,Sweden,Kungsbacka,,,,,Residential,"1,186","1,095",,,,,,,,A residential property with 10 apartments in Kungsbacka. Estimated NOI of SEK842k,,,,1
34,2022-08-18,IM,Projekt Skåne 2.0,Josefin Bergholtz,n.a.,Outpoint,Sweden,Malmö,,,,,Residential,"8,335","1,668",,,,,3.2% - 3.4%,,,5 residential properties with 117 apartments centrally located in Malmö,,,,1
34,2022-08-18,IM,Projekt Skåne,Josefin Bergholtz,n.a.,Outpoint,Sweden,Malmö,,,,,Residential,"7,612","1,883",,,,,3.2% - 3.4%,,,4 residential properties with 130 apartments centrally located in Malmö,,,,1
34,2022-08-18,Teaser,Project Linnea,Mathias Vuorelma,Essote,Newsec,Finland,Mikkeli,,,,,Public use,"77,000",n.a.,,,,,,,,Three public hospital properties located in Mikkeli. 20-year sale and leaseback arrangement with Essote (public tenant). NOI is not available at this point as the lease agreement has not yet been signed,,,,1
34,2022-08-18,Lead,Residential property in Mölnlycke,Josefin Bergholtz,n.a.,Newsec,Sweden,Mölnlycke,,,,,Residential,"1,898","1,564",,,,,,"69,000,000","36,354",A residential property built in 2008 with 36 apartments in Mölnlycke,,,,1
34,2022-08-18,IM,Project Painotalo,Mathias Vuorelma,Kaleva Oy,Catella,Finland,Oulu,,,,,Various,"10,693",121,,,,,,,,"Printing centre located in Rusko in the Oulu area. The seller, Kaleva365 Oy, will sign a 10+5 years lease agreement to continue their operations in the building as the main tenant (76 % of rental income).",,,,1
34,2022-08-18,IM,Project Mediatalo,Mathias Vuorelma,Kaleva Oy,Catella,Finland,Oulu,,,,,Office,"2,907",218,,,,,,,,"Kaleva Oy's HQ property located in Oulu. The Seller, Kaleva365 Oy, will sign a five-year lease agreement to continue their operations in the building as the anchor tenant with approx. 74% of the gross income.",,,,1
34,2022-08-18,IM,Kallisenkaarre 5,Mathias Vuorelma,n.a.,Colliers,Finland,Oulu,,,,,Retail,"6,494",88,,,,,,,,"Big box retail property located in Limingantulli, Oulu. Tenants are mostly car dealerships and vehicle related services. The main tenant is Tesla. Good accessibility and a visible location. 29% vacancy and 5.4 years WAULT",,,,1
34,2022-08-18,Teaser,Project Shield,Mathias Vuorelma,n.a.,Cushman & Wakefield,Finland,Porvoo,,,,,Industrial,"2,099",n.a.,,,,,"5,5%",,,Project Shield consists of a high-quality light industrial or warehouse building which will be developed during 2022 with estimated completion in Q1 2023. The building will be fully-occupied by a well-known industrial operator Insta Automation Oy. ,,,,1
35,2022-08-24,Teaser,Resi in Lessebo,Victoria Sandkvist,Lessebohus,Svefa,Sweden,Lessebo,,,,,Residential,"35,000",n.a.,,,,,,,,The municipality of Lessebo have decided to divest c. 60% of their resi stock. Lessebo is located 30 min east of Växjö,,,,1
35,2022-08-28,IM,Project Helian,David Hävermark,n.a.,Cushman & Wakefield,Sweden,Various,,,,,Retail,"15,807","1,033",,,,,,,,"Portfolio of seven single-let retail properties (fully let to Blomsterlandet) in Enköping, Linköping, Södertälje, Greater Gothenburg, Stenungsund and Hässleholm with 100% indexed linked rental income. WAULT of 12 years ",,,,1
36,2022-08-29,IM,Projekt Lantz,Josefin Bergholtz,n.a.,Outpoint,Sweden,Sundsvall,,,,,Residential,"2,789","1,883",,,,,,,,7 resi properties with 44 apartments. 4.2mSEK in rental value,,,,1
36,2022-08-30,Teaser,Project Theta,David Hävermark,Grandab & Revcap,Newsec,Sweden,Greater Gothenburg,,,,,Industrial,"20,300","1,034",,,,,,,,Last mile light industrial portfolio (9 properties) in Greater Gothenburg. 100% occupancy and 4.4 years WAULT.  Development potential,,,,1
36,2022-08-30,IM,Project Echo,Anthony Romano,Corem,CBRE,Denmark,Various,,,,,Logistics,"37,123",587,,,,,4.50%,,,Two single tenant logistic properties with strong tenants. One with long WAULT and one with 2.17 years. ,,,,1
36,2022-08-31,IM,Project V,David Hävermark,M2 Asset Management,Newsec,Sweden,n.a,,,,,Office,"2,686","8,492",,,,,,,,Top modern office buidling in Stockholm CBD. Fully let on a 7 year lease to one tenant (Svalner),,,,1
36,2022-09-01,IM,Project TCR,Anthony Romano,Pareto,CBRE,Denmark,Copenhagen,,,,,Various,"4,748","1,635",,,,,,,,Airside infrastructure property (servicing the vehicles that carry out ground services to the airlines) at Copenhagen Airport. Fully let to one strong tenant on a 14 year lease,,,,1
36,2022-09-01,IM,Lautruphøj 5-7,Anthony Romano,n.a.,Newsec,Denmark,Greater Copenhagen,,,,,Office,"11,894",829,,,,,,,,Multi tenant office in Greater Copenhagen. Occupancy ratio of 95%. 80% of rental income from office hotel,,,,1
36,2022-09-01,Teaser,Project Spark,Mathias Vuorelma,n.a.,Advium,Finland,Helsinki,,,,,Various,"19,500",n.a.,,,,,,,,Office and retail property in Helsinki CBD. 99% occupance. WAULT of 2 years. Head office to city-owned utility company Helen,,,,1
36,2022-09-01,Teaser,Project Willow,Mathias Vuorelma,n.a.,Newsec,Finland,Various,,,,,Office,"13,650",,,,,,,,,Two Office Properties Located in Helsinki and in Turku. Total NOI of EUR2.6m a year and 99% occupancy ratio,,,,1
36,2022-09-01,Teaser,Royal Oak,Mathias Vuorelma,n.a.,Nordanö,Finland,Kuninkaantammi,,,,,Industrial,"19,099",n.a.,,,,,,,,Large warehouse & light industrial property with development potential (located on the northwestern border of Helsinki). 79% occupancy ratio. Low rental levels offering rental growth potential,,,,1
36,2022-09-01,IM,Mjärdevi Center,Tomas Rockström,Sankt Kors Fastighetsaktiebolag,Catella,Sweden,Linköping,,,,,Office,"9,650","2,154",,,,,,,,"Modern office buidling located in Linköping Sceince park. 94% occupancy. Estimated building rights of c. 22 000 sqm BTA (residential, hotel, retail etc)",,,,1
36,2022-09-01,Teaser,Project Sikla,Mathias Vuorelma,Sikla,n.a.,Finland,Riihimäki ,,,,,Various,"7,450",n.a.,,,,,,,,"Industrial and office property in Riihimäki (Helsinki region). Will be developed by construction company Sikla and completed in April 2024. A 20-year lease with Pivatic Oy, a sheet metal production company",,,,1
36,2022-09-01,IM,Bromma Blocks,Victoria Sandkvist,CBRE Investment Management,CBRE,Sweden,Stockholm,,,,,Retail,"57,450",,,,,,"5,5%",,,"91% occupancy rate, 68 tenants and WAULT of 6.3 years. 50,000 sqm of potential buidling rights",,,,1
36,2022-09-01,Teaser,Retail in Tampere,Mathias Vuorelma,Aare Invest Oy,GEM,Finland,Tampere,,,,,Retail,"13,179",n.a.,,,,,6.20%,,,Two fully let retail properties with 11 tenants in total,,,,1
36,2022-09-01,IM,Project Barb,Mathias Vuorelma,Oy Interior Invest Ab,Cushman & Wakefield,Finland,Tuula,,,,,Various,"6,000",n.a.,,,,,,,,Project Barb consists of a freehold plot and plan to construct a high-quality light industrial or warehouse building. Located next to Ring Road III (5 minutes to Vantaa airport). Estimated completion in Q1 2024,,,,1
36,2022-09-02,IM,Project Solar,Rickard Karlsson,Inhubs Holding AB,Novier,Sweden,Jönköping,,,,,Logistics,"26,400",536,,,,,,,,"A newly developed logistics property in south Stigamo industrial area, Jönköping. Forward funding structure with expected construction completion in July 2023. Fully let on a 15 year lease",,,,1
37,2022-09-06,IM,Project C,Erik Widmark,DNB Liv Eiendom Sverige AB,Pangea,Sweden,Stockholm CBD,,,,,Hotel,"14,200","3,817",,,,,4.25%,"1,198,023,529","84,368",Fully let hotel property in Stockholm CBD (very close to Stockholm central station). 14.9 years WAULT and strong tenant (Nordic Choice) ,,,,1
37,2022-09-06,IM,Project Journey,Tomas Rockström,Coeli,Nordanö,Sweden,Various,,,,,Various,"43,684","1,209",,,,,,,,"A portfilio of 11 multi-purpose assets in strategic suburban locations in Greater Stockholm and Gothenburg. 76% occupancy rate. Potential for future residential development of 140,000 sqm building rights (initiated or ongoing zoning processes on a majority of the properties)",,,,1
37,2022-09-06,Teaser,Resi in Trelleborg & Åstorp,Josefin Bergholtz,Acrinova,Catella,Sweden,Various,,,,,Residential,"8,056","1,550",,,,,,,,Two newly built residential properties (with investment subsidies). 80 apartments in Trelleborg and 54 apartments in Åstorp,,,,1
37,2022-09-08,IM,Project Theta,Tomas Rockström,Grandab & Revcap,Newsec,Sweden,Greater Gothenburg,,,,,Industrial,"20,347",953,,,,,,,,Last mile light industrial portfolio (9 properties) in Greater Gothenburg. 100% occupancy and 4.3 years WAULT.  Development potential,,,,1
37,2022-09-09,IM,Resi & retail in central Örebro,Filip Jilsén,Görtz Fastigheter AB,Newsec,Sweden,Örebro,,,,,Various,"13,221",,,,,,,,,Centrally located properties in Örebro comprising 73 apartments and 43 commercial units. ~50/50 resi area and commercial area. ,,,,1
38,2022-09-13,Teaser,Project Westwood,Anthony Romano,n.a.,Colliers,Denmark,Various,,,,,Logistics,"53,024",724,,,,,~5%,,,Last mile logistics portfolio (6 properties) on attractive locations in Greater Copenhagen (five properties in the Municipality of Albertslund and one in Helsingør). Diversified tenant mix,,,,1
38,2022-09-13,Teaser,Projekt Solid,Josefin Bergholtz,AB Stora Tunabyggen,Svefa,Sweden,Borlänge,,,,,Residential,"57,146","1,066",,,,,,,,Portfolio of 762 apartments centrally located in Borlänge. NOI of c. 36m ,,,,1
38,2022-09-13,Teaser,Project Westwood,Anthony Romano,n.a.,Colliers,Denmark,Various,,,,,Various,"53,024",724,,,,,~5%,,,Last mile logistics portfolio (6 properties) on attractive locations in Greater Copenhagen (five properties in the Municipality of Albertslund and one in Helsingør). Diversified tenant mix,,,,1
38,2022-09-15,IM,DSV - Sale and leaseback opportunity,Anthony Romano,DSV,n.a.,SE/DK,Various,,,,,Logistics,"74,000",n.a.,,,,,,,,"Logistics properties which are currently under construction with a projected completion in Q4 of 2023. The future tenant of the property will be DSV Road A/S, who subsequently with the sale will enter into a 10-year leaseback agreement",,,,1
38,2022-09-15,IM,Resi property in Brunflo,Josefin Bergholtz,n.a.,Storsjömäklarna,Sweden,Brunflo,,,,,Residential,"3,222",857,,,,,6.06%,"28,000,000",,50 apartments centrally located in Brunflo which is located 1.7 miles from Östersund,,,,1
38,2022-09-15,Lead,Resi property in Oskarshamn,Josefin Bergholtz,n.a.,Newsec,Sweden,Oskarshamn,,,,,Residential,"2,318","1,766",,,,,4.23%,"84,000,000",,Residential property under construction with expected completion H1-2024. The project consists of 32 apartments ,,,,1
38,2022-09-15,Lead,School properties in Skåne,Josefin Bergholtz,Granitor,Angermann,Sweden,Various,,,,,Public use,"4,754","1,806",,,,,,,,"Newly built high school property in Kristiansstad (3,907 sqm) and preschool in Helsingborg (847 sqm). 10 year lease time in each property ",,,,1
38,2022-09-15,Lead,Kosmopoliten,Josefin Bergholtz,Ride Group,Atell,Sweden,Kista,,,,,Various,"11,142",n.a.,,,,,,,,Building rights in Kista. The project consist of 206 apartments. The owners want to develop themselves but do not have sufficient access to capital,,,,1
38,2022-09-15,Teaser,Project Olivia,Mathias Vuorelma,Rakennusliike Lapti,Newsec,Finland,Various,,,,,Office,"10,570",,,,,,,,,"Two office buildings under construction in Vantaa (Veromies) and in Oulu (Limingantulli), properties will be completed in 2023 and 2024. ",,,,1
38,2022-09-15,IM,Project Pihla,Mathias Vuorelma,Private investor,Reagle,Finland,Various,,,,,Other,"6,300",,,,,,6-7%,,,"Three care properties in Lieto and Raisio in Turku region. Properties are used for elderly care (48% of NOI), mental health care and substance rehabilitiation (24%), disabled care (16%) and insurance-covered rehabilitation (12%). WAULT 9.3 years, fully let to Pihlajalinna",,,,1
38,2022-09-15,IM,Project Moreeni,Mathias Vuorelma,AKR Tuotto Ky,Newsec,Finland,Hämeenlinna,,,,,Logistics,"14,753",,,,,,,,,"Logistics property (YoC 2007) alongside Helsinki-Tampere highway. DSV Solutions occupies 65% of the property with 3-year WAULT. Approx. 8,500 sqm of unused building right.",,,,1
38,2022-09-15,Teaser,Project Maverick,Mathias Vuorelma,Tristan Capital Partners,Catella,Finland,Vantaa ,,,,,Office,"10,409",,,,,,,,,"Two business park office properties, Plaza Pilke and Plaza Hehku, located in Aviapolis. ",,,,1
38,2022-09-15,IM,Project LITE,Mathias Vuorelma,Terwarahasto 1 Ky,Reagle,Finland,Oulu,,,,,Industrial,"9,144",,,,,,7-8%,,,Portfolio of four fully let light industrial properties completed in 2018-2023.,,,,1
38,2022-09-15,Teaser,Project Chrome,Mathias Vuorelma,KWC Group,n.a.,Finland,Pieksämäki,,,,,Industrial,"8,610",,,,,,,,,"Sale and leaseback arrangement of industrial property in Pieksämäki. 15-year triple net lease with KWC, Swiss manufacturer of kitchen and bathroom fittings. ",,,,1
38,2022-09-15,IM,Project Deck,Mathias Vuorelma,"Tampereen Tornit Ky (LähiTapiola, Ilmarinen, OP, Pohjola, SRV)",Catella,Finland,Tampere,,,,,Office,"6,889",,,,,,5-6%,,,"Fully let new LEED Gold office tower in Tampere CBD, next to Nokia Arena. Anchor tenant Ramboll, covering 65% of rental income.",,,,1
38,2022-09-15,Teaser,Project Äänekoski,Mathias Vuorelma,Municipality,Newsec,Finland,Äänekoski,,,,,Public use,"27,000",,,,,,,,,"12 public use properties in Äänekoski, Central Finland. The properties are used for social services and healthcare (8 properties) and for emergency services (4 properties). WAULT 17.5 years. ",,,,1
38,2022-09-15,Teaser,Project Robin,Mathias Vuorelma,Areim,JLL,Finland,Helsinki,,,,,Office,"2,854",,,,,,,,,"Centrally located office property in Kamppi. Development potential with 2,900 sqm of new building right pending final approval from the City Council.",,,,1
38,2022-09-15,IM,Project Stark,Victoria Sandkvist,Castellum,Catella,Sweden,Östersund,,,,,Various,"80,957","1,433",,,,,~5%,,,6 mixed use properties in central Östersund (mainly office and education). 84% of the rental income is from public tenants. 5.3 years WAULT,,,,1
38,2022-09-16,Teaser,Project Royal,David Hävermark,Niam,Newsec,Sweden,Stockholm,,,,,Hotel,"7,400","2,027",,,,,,,,"Näsby Castle is located next to Näsbyviken in Täby, 15 minutes from Stockholm city. Näsby Slott offers 14 meeting rooms (for 2-120 meeting participants) and 53 hotel rooms adjacent to the castle. Fully let to to Stockholm Meeting Selection and SATS with a WAULT of 9.5 years",,,,1
39,2022-09-19,IM,Tången (resi in Södertälje),Josefin Bergholtz,Asilum AB,Cushman & Wakefield,Sweden,Södertälje,,,,,Residential,"3,772","1,686",,,,,,,,66 apartments centrally located in Södertälje. Extensively renovated between 2012 and 2016. NOI of SEK5m,,,,1
39,2022-09-21,Lead,Resi in Sundsvall,Josefin Bergholtz,Adeator Fastigheter,Newsec,Sweden,Sundsvall,,,,,Residential,"5,584","1,283",,,,,~4%,,,80 apartments centrally located in Sundsvall (old stock),,,,1
39,2022-09-21,IM,Project Värend,Tomas Rockström,Emilshus,Croisette,Sweden,Various,,,,,Office,"34,700","1,282",,,,,,,,"8 properties in Småland (centrally located in each town), mainly comprising office and retail but also some residential. NOI of c. SEK27m. Occupancy ratio of 91%",,,,1
39,2022-09-21,IM,Project Heath,Anthony Romano,Eltronic Group,Nordicals,Denmark,Hedensted,,,,,Industrial,"26,514",495,,,,,5.50%,"283,500,000",,Warehouse property to be sold in a sale-leaseback deal with a triple-net lease and 16-year WAULT,,,,1
39,2022-09-21,IM,Project Energy,Anthony Romano,Green Power Denmark,CBRE,Denmark,Copenhagen,,,,,Office,"6,309",422,,,,,,,,Prime office property in the heart of Copenhagen. Development potential (refurbish and develop the entire property). 63% of the gross area expected to be vacant in Q1-2023. Energy optimised property,,,,1
39,2022-09-21,Teaser,Project Luna,Tomas Rockström,n.a.,Croisette,Sweden,Halmstad,,,,,Public use,"1,064","2,536",,,,,,,,"High school, operated by Academedia, centrally located in Halmstad. 15 year WAULT. Zoning plan also allows residential and office",,,,1
39,2022-09-22,Teaser,Project Kottby,Mathias Vuorelma,Stiftelsen Blomsterfonden I Helsingfors sr,Newsec,Finland,Helsinki,,,,,Various,"5,595",,,,,,,,,An old residential/health care building in Käpylä currently let to Folkhälsan with a short lease. Sold for development purposes.,,,,1
39,2022-09-22,IM,Project Nemus,Mathias Vuorelma,Tapiolan Lämpö Oy,Ecorum,Finland,Espoo,,,,,Various,n.a.,,,,,,,,,"An office building with an ongoing residential zoning project. The new city plan would allow 15,000 sqm residential building right on the plot.",,,,1
39,2022-09-22,Teaser,Project Franklin,Mathias Vuorelma,NCC Property Development,MREC,Finland,Helsinki,,,,,Office,"7,730",,,,,,,,,"An office property in Kamppi, close to Helsinki CBD. A full-scale renovation ongoing, will be fully let to Wolt with 5.6 years WAULT.",,,,1
39,2022-09-22,Teaser,Project Lentola,Mathias Vuorelma,Korpi Capital,Reagle,Finland,Kangasala,,,,,Retail,"2,449",,,,,,,,,"Big box retail property in Kangasala, Tampere region. Fully let to BYGGmax with 10.8 year WAULT.",,,,1
39,2022-09-22,IM,Hangar 5,Victoria Sandkvist,NCC Property Development,Savills,Sweden,Bromma,,,,,Various,"51,543","3,286",,,,,,,,"Hangar 5 is to be completed in 2022 and has an economic occupancy of 73% to date. The weighted average lease length amounts to 9.6 years as per Q1 2023 and the rental income is c. MSEK 169.4. 50% office, 22% groceris, 11% hotel and 5% parking",,,,1
39,2022-09-22,Teaser,Pacific Blue,David Hävermark,Savills IM,CBRE,Sweden,Various,,,,,Logistics,"92,700",585,,,,,,,,"Three logistics properties built in 2009-2015 fully let to DHL, Postnord and Fortifkationsverket. 4.9 years WAULT.",,,,1
39,2022-09-23,Teaser,United,Victoria Sandkvist,Castellum,CBRE,Sweden,Various,,,,,Retail,"80,600",,,,,,,,,"A portfolio of 26 retail properties concentrated to Mälardalen and Soutwest regions. 34% grocery anchored properties, 39% single-tenant properties. 98% occupancy and 4.2 years WAULT. Value-add opportunities from building rights ",,,,1
39,2022-09-23,IM,Metropol,Anthony Romano,NAS Invest,Nordanö,Denmark,Copenhagen,,,,,Office,"10,065",,,,,,,,,"Office property in Copenhagen to be repositioned, optimised and fully let in H2 2024. Vacancy rate of 94%. Opportunity to acquire 25-50% equity share in a joint venture partnership structure managed by NAS Invest.",,,,1
39,2022-09-23,Teaser,Exporten 9,Tomas Rockström,n.a.,Zelvio,Sweden,Norrköping,,,,,Industrial,"19,307","1,513",,,,,,,,"Mixed use property in Norrköping. 80% occupancy ratio. The property comprises a school, offices, gym and warehouse",,,,1
39,2022-09-23,IM,"I&L in Norra Hamnen, Malmö",David Hävermark,Savills IM,CBRE,Sweden,Malmö,,,,,Industrial,"45,900",,,,,,,,,"Two industrial properties located in Norra Hamnen, Malmö (5 minutes from Malmö Central Station). 19% occupancy, thus substantial re-letting opportunity. The larger property is fully vacant. ",,,,1
39,2022-09-23,Lead,Manfred 7 & Växlaren 14,David Hävermark,Folksam,Catella,Sweden,Various,,,,,Various,"27,473",,,,,,,,,"Two mixed use properties in Västerås adn Eskilstuna. Växlaren 14 comprises 17 327 sqm (55% retail area and 31% residential) and has an occupancy ratio of 61%. Manfred 7 comprises 10 146 sqm (74% offices and 21% retail/gym) and has an occupancy ratio of 77%. Broker guidance of c. 300mSEK for Manfred. However, the Seller will not accept an offer on just Manfred, a Buyer need to acquire both assets",,,,1
39,2022-09-23,IM,Pacific Blue,David Hävermark,Savills IM,CBRE,Sweden,Various,,,,,Logistics,"92,714",485,,,,,,,,"Logistics portfolio with three properites. Fully let to tenants such as DHL, Postnord and Fortifikationsverket. WAULT of 4.9 years. NOI of MSEK 51.5. ",,,,1
39,2022-09-23,IM,Pacific Red,David Hävermark,Savills IM,CBRE,Sweden,Various,,,,,Logistics,"48,171",555,,,,,,,,"Logistics portfolio with two properties. Fully let with tenants  such as Postnord and PAC. WULT of 7.2 years, NOI of MSEK 29.8. Construction years was 2012 ans 2016. ",,,,1
40,2022-09-26,IM,n.a.,Mathias Vuorelma,Several,LogisTila,Finland,Kuopio,,,,,Various,"7,671",905,,,,,9.00%,"6,900,000",,Four fully let mixed industrial/office/warehouse properties in Kuopio. ,,,,1
40,2022-09-27,IM,Brunbjergvej 1,Anthony Romano,n.a.,Colliers,Denmark,Risskov,,,,,Industrial,"2,093",813,,,,,6.43%,"24,500,000",,A small warehouse property built in 2011 in good condition with good tenants and located in a strong location,,,,1
40,2022-09-27,IM,Nordlundvej 1,Anthony Romano,n.a.,Colliers,Denmark,Brande,,,,,Industrial,"32,650",199,,,,,6.66%,"88,500,000",,Fully let warehouse/industrial property let out to BTX Group and DK Company,,,,1
40,2022-09-27,Lead,Warehouse property in the Triangle area,Anthony Romano,n.a.,Colliers,Denmark,Triangle area,,,,,Industrial,"~10,000",545,,,,,,,,"10,000 sqm industrial property located in the Triange area including about 400 sqm of office. Terminal building with 84 gates with loading docks, let out on a rolling lease with a 12 months’ notice, close to the E45. Colliers do not have a sales mandate and is seeking a finders fee",,,,1
40,2022-09-27,IM,Project Royal,David Hävermark,Niam,Newsec,Sweden,Stockholm,,,,,Hotel,"7,400","2,027",,,,,,,,"Näsby Castle is located next to Näsbyviken in Täby, 15 minutes from Stockholm city. Näsby Slott offers 14 meeting rooms (for 2-120 meeting participants) and 53 hotel rooms adjacent to the castle. Fully let to to Stockholm Meeting Selection and SATS with a WAULT of 10 years",,,,1
40,2022-09-28,IM,Project Moonlight,Victoria Sandkvist,Corem,Savills,Sweden,Eskilstuna,,,,,Various,"16,757","1,402",,,,,,,,Mixed use property in central Eskilstuna. 60% of the rental income is derived from publicly funded tenants and 23% of the rental income is derived from strong retailers such as H&M and Åhléns. 87% occuapncy ratio and estimated NOI of 12.4 mSEK in 2023,,,,1
40,2022-09-30,Lead,Industrial in Falun & Borlänge,Filip Jilsén,Kigada Fastighets Ab,Rosengren,Sweden,Various,,,,,Various,"4,128","1,226",,,,,,,,Industrial property in Borlänge built in 2011 located in light industrial location. Office property located in retail area south of Falun. Renovated in 2018. ,,,,1
41,2022-10-03,Teaser,Project Moonstone,Anthony Romano,Novo Holdings,Nordanö,Denmark,Various,,,,,Office,"~1,100,000",n.a.,,,,,,,,"Divestment of a minority stake of 10-25% of the share capital in DADES A/S. Founded in 1937, DADES has grown to become one of the largest privately held real estate investment firms in Denmark with a +1,100,000 m² portfolio. The portfolio consists of of i) core office portfolio, ii) one out of only two dominating shopping centre portfolios in Denmark and iii) a newly constructed residential portfolio let at market rent",,,,1
41,2022-10-03,IM,Svanholmen 1,Filip Jilsén,Stenhus Fastigheter,Catella,Sweden,Vårberg,,,,,Various,"20,813","2,259",,,,,,"930,000,000","44,684","Fully let public use and residential property (50% healthcare, 24% residential, 20% education and 6% other). WAULT of c. 13.5 years. Located in Vårberg (Skärmholmen) which is undegoing extensive development",,,,1
