Country,Timing,,,,,,Property Information,,,,,,,,Description
,Week nr.,Date received,Project name,Recieved by,Seller,Location,Use,"Leasable area, sqm","Base rent incl. index, CCY/sqm","NOI, CCY","WAULT, years","Economic occupancy rate, %","Deal value, MCCY",Yield,Comment 
Sweden,8,2025/02/19,Project Eklund,Josefin Bergholtz,Mirmor Holding AB,Various,Residential,"11,270","1,480",898,-,99%,-,-,"Two properties in Sätra and Bredäng with a total of 137 apartments. A building permit exists for the creation of additional residential area in Sätra, approx. 200 sqm of new space. "
Denmark,8,2025/02/20,Hvidovrevej,Anthony Romano,Innovater,Hvidovre,Residential,"15,033","1,975","1,681",-,-,-,-,"A residential and commercial development in Hvidovre, Denmark. The project includes 188 residential apartments, commercial spaces for retail and cafes, and a raised courtyard with shared facilities."
Denmark,8,2025/02/20,Project Big Box Retail,Anthony Romano,Innovater,Various,Retail,"41,320","1,143","1,166",12,99%,-,-,"This portfolio consists of three retail parks in Nyborg, Haslev, and Aalborg Nord, developed by Innovater A/S. The properties include a total of 32 rental units with major tenants such as JYSK, Elgiganten, Coop, and Harald Nyborg."
Sweden,8,2025/02/21,Portfölj Huddinge,Simon Klinga,Erik Selin Fastigheter,Various,Mixed,"9,822","1,613","1,411",3,91%,-,-,"Portfölj Huddinge consists of four commercial properties located in Huddinge, with a mix of industrial, retail, and office spaces. The portfolioio benefits from strong connectivity to major highways, ensuring access to central Stockholm and surrounding business districts."
Sweden,8,2025/02/21,Portfölj Västberga,Simon Klinga,Erik Selin Fastigheter,Various,Mixed,"13,505","1,820","1,317",2,89%,-,-,"Portfölj Västberga consists of five properties positioned in Västberga, Stockholm. The portfolio includes a mix of industrial, office, and retail spaces. With connectivity to major transport routes, the properties offer redevelopment potential."
Sweden,8,2025/02/21,Älvjsö ,Simon Klinga,Erik Selin Fastigheter,Various,Office,"20,948","1,778",-,5,77%,-,-,"Älvsjö Konsumenten 2 is an office property situated along Huddingevägen in Älvsjö, near Älvsjö Station and Stockholmsmässan."
Sweden,8,2025/02/21,Mölndal Kusken,Josefin Bergholtz,"Byggservicegruppen i Göteborg AB, Joakim Olsson, Henn Soppi, Anders Svensson, Lars Svensson",Various,Office,"2,647","2,446","2,031",4,100%,-,-,"Mölndal Kusken consists of two properties strategically located in Åby, Mölndal, close to the E6 highway and major transport routes. Kusken 6 comprises office and industrial spaces, while Kusken 8 includes a fully leased gym with long-term agreements. "
Denmark,8,2025/02/21,Project Scipio,Anthony Romano,Bonum Development,Various,Residential,"9,788","1,900",-,-,-,-,-,"A residential development project comprising 132 apartments across four buildings, with completion expected by the end of Q1 2026. "
Sweden,8,2025/02/21,Droppen,Josefin Bergholtz,Granitor Properties AB,Various,Residential,"5,547","2,921","2,704",-,-,-,-,"Droppen is a newly developed residential property in the Hyllie district of Malmö, featuring 108 apartments and a ground-floor commercial unit. It is positioned just minutes from Hyllie Station. "
Sweden,9,2025/02/24,Åldermannavägen 1,Albin Östmarck,AZH Holding AB,Various,Logistics,"1,500",-,-,-,-,-,-,"An industrial and logistics property in Alby Industriområde, just three minutes from the E4/E20 highway. The property features a 1,300 sqm warehouse with up to 10 meters of ceiling height and office spaces. Fully vacant."
Sweden,9,2025/02/24,Case Täby,Josefin Bergholtz,Storsala,Various,Residential,"11,027","3,172","3,276",-,-,745,4.9%,"A residential development project in Täby, consisting of 236 built-to-rent apartments with a mix of studio, one-, two-, and three-bedroom units. Storsala acts as both developer and project manager."
Sweden,9,2025/02/24,Case Märsta,Josefin Bergholtz,Storsala,Various,Residential,"4,593","2,822","2,990",-,-,275,5.0%,"A built-to-rent residential development in Märsta, with 94 apartments and 87 parking spaces, designed to include studio, one-, and two-bedroom units. The mixed-use project also contains approximately 400 sqm for commercial use, such as shops and restaurants. Storsala will be actively overseeing the development."
Sweden,9,2025/02/24,Case Solberga,Josefin Bergholtz,Storsala,Various,Residential,"5,602","3,221","3,006",-,-,355,4.8%,"A residential development in Solberga, featuring 99 built-to-rent apartments ranging from studios to four-bedroom units."
Sweden,9,2025/02/24,Case Orminge,Josefin Bergholtz,Storsala,Various,Residential,"8,977","2,983","3,092",-,-,578,4.8%,"A built-to-rent residential development in Orminge, Nacka, consisting of 177 apartments with a mix of studios, one-, two-, and three-bedroom units. "
Denmark,9,2025/02/24,Project Hamlet,Anthony Romano,,Various,Last-mile logistics,"116,000",-,379,4,91%,-,-,"Project Hamlet is a last-mile logistics portfolio in Denmark, featuring 12 assets across the Capital Region and Triangle Region. The portfolio has a strong tenant mix, high occupancy, and an ESG roadmap aimed at long-term sustainability improvements. "
Denmark,9,2025/02/26,Valseholmen 10,Anthony Romano,,Hvidovre,Light Industrial,"4,192",750,-,-,-,49,-,Valseholmen 10 is a light industrial property located in the Avedøre Holme business district. The property will be fully vacant in May 2025. The sale price depends on whether the property is sold stabilized with tenants (DKK 50-52 million) or vacant (DKK 46-48 million).
Sweden,9,2025/02/26,Vallmovallen,Josefin Bergholtz,Peab,Vellinge,Residential,"6,023","2,190","1,899",-,-,-,-,"Vallmovallen is a planned residential project in Vellinge, consisting of two multi-family buildings with 102 apartments. There will be a retail unit on the ground floor and 22 parking spaces."
Sweden,9,2025/02/27,Project Bluebell,David Hävermark,Flower,Various,Energy & Infrastructure,-,-,-,-,-,-,-,"Project Bluebell is a large-scale Battery Energy Storage System (BESS) investment opportunity led by Flower. The portfolio includes operational and under-construction BESS assets across Sweden, with additional development rights for 2.8GW of projects across multiple European countries. The joint venture structure allows an investor to acquire a majority stake in the AssetCo while leveraging Flower’s expertise in trading and optimisation."
Denmark,9,2025/02/28,Skjøde Pipeline,Kristina Alderin,Skjøde,Various,Residential,"31,011",-,-,-,-,215,-,A project in Aarslev consisting of 68 SFR units. Expected completion in October 2026.
Finland,10,2025/03/04,Project Note,Mathias Vuorelma,,Vantaa,Logistics,"7,000",-,114,2,-,-,-,"Logistics asset located next to Helsinki Airport in Vantaa, Finland. The property was built in 2008 and has been fully occupied by RCK Finland Oy since its completion."
Denmark,10,2025/03/04,Kalundborg II,Kristina Alderin,,Kalundborg,Residential,"8,000",-,-,-,-,-,-,"Residential project with c. 85 rowhouses. Local plan expected in Q2 2026. Trim, the developer, is in negotiations with the land owner to secure an option on the plot. Project will be built in two phases, with the project completed as of Q3 2027."
Denmark,10,2025/03/04,Jyderup,Kristina Alderin,,Holbæk,Residential,"15,000",-,-,-,-,-,-,"Residential project in Jyderup consisting of c. 165 rowhouses. Building permit is expected in Q3 2025. Trim, the developer, is in negotiations with the land owner to secure an option on the plot. The project will be built in five phases and has an expected completion in Q3 2027."
Denmark,10,2025/03/04,Kalundborg III ,Kristina Alderin,,Kalundborg,Residential,-,-,-,-,-,-,-,"Trim, the developer, is in negotiations with the land owner next to the plot we intent to build on in Kalundborg, to see if we can secure additional area. Upon receiving more information we will evaluate the opportunity, taking into considerations that we do not want to be overallocated in one city."
Denmark,10,2025/03/04,Helsinge II,Kristina Alderin,,Gribskov,Residential,"15,000",-,-,-,-,-,-,"Residential project in Helsinge. Trim, the developer, is in discussions with Troldeutvikling, option owner. Project will be built in five phases, with the entire project completed as of Q4 2027."
Denmark,10,2025/03/04,Bavne Ager,Kristina Alderin,OK Fonden,Various,Public Use,"3,294","1,784","1,529",-,-,118,4.3%,"Project Bavne Ager consists of 42 senior rental apartments designed under the ""Boliger for Livet"" concept, ensuring access to nearby care facilities. The development is located in Gilleleje. The project is being delivered as a turnkey investment."
Sweden,10,2025/03/05,Projekt Grönfinken,Josefin Bergholtz,HanssonGruppen,Borås,Public Use,"6,109","1,401",939,15,100%,-,-,"Grönfinken is a fully leased social infrastructure property in Borås, Sweden, featuring a mix of municipal services and residential units. Borås Stad has signed a new 15-year lease. The asset offers future development potential with the possibility of adding additional floors for municipal or residential use."
Sweden,10,2025/03/05,Project Nova,Josefin Bergholtz,Resona Utveckling AB,Sollentuna,Residential,"16,784","3,263","3,078",-,-,-,-,"Residential development project in central Sollentuna, Stockholm, consisting of 309 rental apartments. "
Sweden,10,2025/03/05,LSS,Kristina Alderin,,Various,Public Use,"12,500",-,-,10,-,-,-,An LSS opportunity with 20 properties primarily located in southern/central Sweden. Most of the properties are built after 2020. Mainly Humana and Nytida as tenants.
Sweden,10,2025/03/07,Project Grace 3,Annika Fridolf,NCAP/Mitsubishi,Stockholm,Office,"7,008",-,-,9,100%,-,-,"Project Grace is a fully leased office property situated in central Stockholm, at the intersection of Kungsgatan and Sveavägen. The property's flagship tenant is Sweden’s leading co-working operator, IOffice."
Denmark,10,2025/03/08,Helseholmen 1,Anthony Romano,Square Meter,Hvidovre,Logistics,"10,500",-,-,-,-,38,-,"Helseholmen 1 is a development opportunity in Avedøre Holme. The land plot spans 15,000 sqm with an assumed 70% density ratio, supporting a mixed-use development of logistics and office space. Holding period is assumed to be four years, with a deal start in July 2025. The expected return is 1.7x MOIC and 24% levered IRR."
Sweden,11,2025/03/10,Project Green Oak,Filip Gustavsson,Trianon,Various,Residential,"3,911",-,"1,774",-,100%,-,-,"Project Green Oak is a residential development opportunity in the district of Rågsved, approximately 13 km from central Stockholm. The portfolio consists of three properties. Estimated building rights for further development is estimated to encompass 6,691 sqm."
Finland,10,2025/03/04,Project Lighthouse 2,Mathias Vuorelma,Castlelake,Various,Logistics,"60,000",-,95,3,96%,-,-,"Last-mile logistics and light industrial portfolio located around Ring Road III in Helsinki Metropolitan area. The portfolio includes 14 assets with significant upside potential through rent reversion, leasing of vacant space, and optimization of unused building rights. With a stable, diversified tenant base and 99% of cash flow inflation-hedged, the portfolio offers strong income security and long-term growth opportunities.	"
Sweden,11,2025/03/13,Markan 6,Josefin Bergholtz,Heba Fastighets AB,Täby,Residential,"2,848","2,327","1,764",-,100%,-,-,"Markan 6 is a residential property located in Hägernäs, Täby, consisting of four buildings with a total of 52 apartments. The property was built in 2010 and has a site area of 12,658 sqm. "
Denmark,11,2025/03/14,Petuniahaven,Anthony Romano,"Egetbo Invest ApS, Brudebakke Holding ApS",Aalborg,Residential,"5,160","1,334","1,133",-,-,126,4.7%,"Petuniaparken is a newly developed residential project in Aalborg SØ, consisting of 48 single-story row houses and semi-detached houses. The project is divided into two phases, with the first phase expected to be completed by the end of 2025 and the second by late 2026. "
Denmark,11,2025/03/14,Sundheden,Anthony Romano,TN Udvikling A/S,Aalborg,Residential,"29,600",-,-,-,-,-,-,"Sundheden is a development project in Aalborg Ø, located next to the upcoming University Hospital and Aalborg University. The project consists of 14,100 sqm of residential properties, and 15,500 sqm of commercial spaces. "
Denmark,11,2025/03/11,Datacenter,Anthony Romano,RCON A/S,Aalborg,Data center,"211,345",-,-,-,-,-,-,"A large-scale development opportunity with zoning in progress and power infrastructure upgrades planned. The site benefits from proximity to a 150kV substation. Currently, the zoning process is ongoing with the local plan being prepared and expected to be finalised by 2025. Supply capacity up to 250 MW from Q2 2027. "
Sweden,12,2025/03/17,Project Luna Växjö,David Hävermark,Walter Fastigheter,Växjö,Hotel,"12,860","1,300",-,10,100%,-,-,Fully leased hotel and concert hall. Elite Hotels and Växjö Municipality are the long-term anchor tenants with fixed CPI-linked rents.
Sweden,12,2025/03/17,Project Luna Karlstad,David Hävermark,Nordika Fastigheter,Karlstad,Public Use,"19,400","2,100",-,9,100%,-,-,"Cultural, congress, and conference facility in Karlstad. Fully leased to publicly backed tenants, including Karlstad Municipality and the Swedish Consumer Agency. Development potential, including 9,500 sqm of  building rights."
Sweden,12,2025/03/18,Skanska projects,Josefin Bergholtz,Skanska,Various,Residential,"14,730",-,-,-,-,-,-,"Skanska’s portfolio consists of three residential projects in Stockholm, Göteborg, and Helsingborg. Possible to bid on the whole portfolio or in parts. "
Sweden,12,2025/03/18,Tingberget,Josefin Bergholtz,,Kungsbacka,Residential,"19,500",-,-,-,-,-,-,"Tingberget is a large-scale residential property located in Kungsbacka, with a walking distance to rail connections. The property consists of 295 apartments, and additional development rights for expansion."
Denmark,12,2025/03/18,Englandsvej 384,Anthony Romano,Ejendommen Englandsvej 384 ApS,Tårnby,Industrial,"1,119",906,878,1,100%,18,5.6%,"The property consists of two buildings, constructed in 1969 and 2000, with mixed office, workshop, and showroom spaces. The current tenant, Quickpoint A/S, is responsible for operating expenses. "
Denmark,12,2025/03/19,Project Hamlet 2,Anthony Romano,"Tristan Capital Partners, Aveca AB",Various,Warehouse,"116,335",493,380,4,94%,-,-,"Project Hamlet is a last-mile logistics portfolio in Denmark, featuring 12 assets across the Capital Region and Triangle Region. The portfolio has a strong tenant mix, high occupancy, and an ESG roadmap aimed at long-term sustainability improvements. "
Sweden,12,2025/03/20,Project Kvarts,Simon Klinga,Å Tilder Fastighetsaktiebolag,Järfälla,Light industrial,"1,830","1,461","1,323",5,100%,-,-,"Project Kvarts is a fully let light-industrial property located in Veddesta, Järfälla, within Stockholm County. The property has a WAULT of 4.6 years and is leased to three tenants operating in metalwork, manufacturing, and industrial innovation."
Finland,12,2025/03/20,Project Runway,Mathias Vuorelma,,Turku,Logistics,"9,000",-,100,4,100%,-,-,"The property is the only cargo terminal at Turku Airport, anchored by FedEx and DHL. It is situated in a strategic airside location with no comparable alternatives nearby. It underpins critical air freight operations in southwestern Finland."
Sweden,12,2025/03/21,Timotejen 20,Josefin Bergholtz,Veraz Holding,Stockholm,Office,"9,200","2,609",-,3,90%,-,-,"Timotejen 20 is an office property in Telefonplan, Stockholm, originally built in 1913 and later transformed into office spaces. Stockholm city center ia a 15-min drive away. It is anchored by Stockholm Municipality, contributing 15% of rental income."
Sweden,12,2025/03/21,Tingseken,Josefin Bergholtz,,Botkyrka,Residential,"10,366","3,464","3,049",-,100%,-,-,"Byamannen 2 is a residential property in Botkyrka, south of Stockholm, consisting of six buildings with 246 apartments and 43 parking spaces. Completed in 2019/2020 by Titania. The property has received multiple awards for sustainability and residential development."
Denmark,13,2025/03/24,Naverland 26 II,Anthony Romano,,Glostrup,Logistics,"3,272",606,515,2,100%,25,6.7%,"Naverland 26 is a fully leased investment property in Glostrup, Denmark, situated on a 7,000 sqm plot with three buildings, two of which are occupied by the seller. The site includes a historical trichloroethylene contamination from the 1950s, with remediation costs covered by the regional environmental authorities."
Sweden,13,2025/03/24,Project Sigvid,Filip Gustavsson,"Mava Fastigheter, Lars Andersson",Various,Residential,"13,444","1,488","1,017",-,98%,-,-,"Project Sigvid consists of 10 residential properties located in Södra Sofielund, Malmö, with a total of 172 apartments and six commercial units. The properties are well-connected, situated near public transportation and within cycling distance of Triangeln station. The portfolio offers potential for value-add opportunities, including attic conversions and optimization of vacant spaces."
Sweden,12,2025/03/18,Bostäder i Älmhult,Filip Gustavsson,J & S Fastigheter i Sverige AB,Various,Residential,"4,373","1,298",823,-,-,-,-,"Consists of four residential properties in Älmhult. The properties are well-maintained, featuring modern heating systems and low vacancy rates."
Sweden,13,2025/03/24,Project Proxima,Simon Klinga,Evolv Fastigheter Core Holding 3 AB,Various,Logistics,"13,126","1,453","1,387",6,100%,-,-,Two properties in prime logistics areas with easy access to major highways and transport nodes. They were completed in 2022. 
Sweden,13,2025/03/25,Kilen 4,Josefin Bergholtz,,Stockholm,Residential,"2,731","2,051",-,-,-,-,-,"Located at Norra Bantorget in central Stockholm, comprising 23 residential apartments and six commercial units. The property offers a total leasable area of 2,731 sqm, with a significant portion dedicated to residential use."
Finland,13,2025/03/25,Project Aura 2,Mathias Vuorelma,,Various,Residential,"3,669",-,226,-,99%,-,-,"Residential investment opportunity located near Turku CBD, featuring two apartment buildings completed in 2023. The properties are equipped with sustainable features such as solar panels."
Sweden,13,2025/03/27,SFR Vallentuna & Norrtälje,Erik Widmark,Obos,Various,Residential,"18,190","2,388","2,130",-,-,701,5.5%,"Forward purchase deal presented to us by Preservia. Two SFR projects (to be developed and sold by Obos) with an expected completion in Q1 2027. The deal value of 38,559 SEK/sqm includes financing costs. "
Denmark,13,2025/03/26,SLK Pipeline,Kristina Alderin,SLK,Various,Residential,"30,180","1,260",-,-,-,393,-,SLK Pipeline with 5 properties across Denmark. The properties consist mainly of townhouses and some apartments.
Denmark,13,2025/03/26,SLK Portfolio,Kristina Alderin,SLK,Various,Residential,"19,368","1,451",-,-,-,527,-,"The SLK Portfolio comprises six properties across Denmark, primarily consisting of townhouses. One of the properties is a residential care institution."
Denmark,13,2025/03/26,Fællessted,Kristina Alderin,Löfte PD,Various,Senior community,"42,375",-,"1,517",-,-,-,-,"A portfolio of five properties located across Denmark, focusing on senior communities and residential developments. The properties are positioned in Holbæk, Tisvilde / Vejby, Næstved / Fensmark, and Roskilde. The developments are designed to cater to the growing demand for senior housing, with a mix of senior communities and residential row houses."
Sweden,13,2025/03/28,Soldaten 1,Filip Gustavsson,Maison Forte,Västerås,Public Use,"4,078","2,392",-,15,100%,-,-,"Soldaten 1 is a school property under construction in Viksäng, Västerås, designed to accommodate 408 students from preschool to grade 6. The development includes facilities such as a sports hall, kitchen, dining area, and library, with completion expected in 2026. The property benefits from excellent transport links and is situated in a family-friendly area with anticipated demand for school placements."
Sweden,12,2025/03/20,Missionsskolan,Kristina Alderin,"Ikano Bostad, HSB Bostad",Lidingö,Public Use,"6,752","2,466","1,511",-,91%,-,-,"Missionsskolan is located in Lidingö, Stockholm, established by the Swedish Missionary Society in 1908. The property includes educational facilities (4,386 sqm) and residential units (1,052 sqm)."
Poland,13,2025/03/28,PBSA Poland,Kristina Alderin,GrupoLar,Various,PBSA,-,-,-,-,-,150,-,"An opportunity to join GrupoLar's new PBSA investment platform as a strategic equity partner, aiming to deliver 4-5 PBSA assets totalling c. 2,000 beds. The platform's primary focus is Warsaw, targeting 3-4 assets, with the remaining assets planned for Krakow and/or Wroclaw. Portfolio underwritten on 5.85% exit yield. "
Sweden,14,2025/03/31,Tingberget 2,Josefin Bergholtz,Aranäs AB,Various,Residential,"19,477","1,291",831,-,93%,-,-,"The Tingberget portfolio comprises four residential properties in Kungsbacka, with renovation potential. The properties are located 20-min from Gothenburg city centre."
Sweden,14,2025/03/31,Project Alder,Filip Gustavsson,,Knivsta,Residential,"13,100","2,824",-,-,-,-,-,"A residential project located in Alsike, Knivsta. The project includes 230 rental apartments, 450 sqm of commercial premises, and 159 parking spaces, with expected completion by 2027. The development is positioned near a new commuter train station."
Sweden,14,2025/03/31,Project Arborist 2,Filip Gustavsson,,Various,Residential,"14,875","1,190",-,-,95%,-,-,A residential portfolio located in Oxelösund. It consists of 192 apartments which are divided into nine properties. 
Denmark,14,2025/03/31,Pederstrupvej 84,Anthony Romano,PFA,Ballerup,Industrial,"9,081",770,746,8,100%,-,-,"Pederstrupvej 84 is an industrial and office property located in the district of Ballerup Business Park. The property is fully leased to Struers ApS, a metallographic solutions company, under a 15-year lease agreement. "
Sweden,13,2025/03/25,Project Vilma,Josefin Bergholtz,Sterner Projekt AB,Nynäshamn,Residential,"15,730",-,-,-,-,-,-,"A residential development project in Ösmo, Nynäshamn, with potential for constructing various housing types, including row houses and multi-family dwellings. The detailed plan has gained legal force, and there are existing building permits."
Denmark,14,2025/04/02,Usserød Kongevej,Anthony Romano,"Generous Development, OGA",Hørsholm,Residential ,"2,664","2,310","2,048",-,-,104,5.3%,A residential development project in Hørsholm that will consist of approximately 37 homes with private parking and gardens. The project is located within walking distance to shopping facilities and public transport. 
Denmark,14,2025/04/02,Parkhus,Kristina Alderin,,Roskilde ,Residential,"5,204",-,-,-,-,-,-,"Parkhus is a residential development project located in Roskilde. Recent regulatory changes have allowed for a more diverse mix of housing types and reduced parking infrastructure. Expected construction cost of c. DKK 23,000 pr sqm (ex VAT and land). The projected sales price is around DKK 40,000 pr sqm. "
Sweden,14,2025/04/03,Project Seger,Albin Östmarck,Lotus Maskin & Transport AB,Botkyrka,Office,841,"1,361","1,246",-,100%,-,-,An office and industrial property located in the Eriksbergs industrial area of Botkyrka Municipality. This is a sale leaseback process where Lotus Maskin & Transport AB is flexible regarding future solutions within the property and is open to signing a lease agreement ranging from one to five years
Sweden,14,2025/04/03,Project Flow,David Hävermark,,Örebro,Logistics,"55,000",480,-,16,100%,-,-,Logistics asset located in Örebro. The property is fully leased to Dollarstore. It has an EPC A rating and BREEAM Excellent certification.
Finland,14,2025/04/04,Project Ruby 2,Mathias Vuorelma,,Helsinki,Residential ,"2,356",-,77,-,63%,-,-,"Project Ruby is located in the Etu-Töölö district of Helsinki. Originally constructed as a telephone exchange in 1915, the building has since been converted to house five apartments and office premises, and also includes a parking garage. The transaction concerns 70% of the shares."
Sweden,15,2025/04/07,Project Upptäcktsresanden,Josefin Bergholtz,,Various,Residential,"2,388","1,857","1,191",-,-,-,-,"Consists of two residential properties located in Hammarbyhöjden and Bagarmossen in Stockholm. The properties offer a mix of 1, 2, and 3-room apartments, benefitting from proximity to public transport and green spaces. "
Sweden,15,2025/04/07,Ellenbogen 13 & Tjuren 11,David Hävermark,Åke Nihlén Fastigheter AB,Various,Residential,"3,548","1,747","1,240",-,-,-,-,"Project Ellenbogen 13 & Tjuren 11 consists of two mixed-use properties located in central Malmö, offering residential, retail, and office spaces. Ellenbogen 13 is situated in the Gamla Staden area, while Tjuren 11 is located in the Limhamn district."
Sweden,15,2025/04/09,Project Tuve,Carl Rosén,Torslanda Property Investment,Göteborg,Industrial,"7,234","1,893","1,621",6,100%,-,-,"Project Tuve is an industrial property in the Tuve area of Göteborg, fully leased to Volvo. The site includes a car service center, damage workshop, and additional facilities."
Finland,15,2025/04/09,Project Haven,Mathias Vuorelma,Mandatum Henkivakuutusosakeyhtiö,Helsinki,Social Infrastructure,"4,700",-,234,13,100%,-,-,"Project Haven is a social infrastructure asset in Helsinki, Finland, featuring an unbreakable 15-year lease with Validia, the leading provider of disability services in Finland. The property is located next to Pohjois-Haaga train station and Ring Road I. The asset is undergoing extensive refurbishment to convert it into a care property."
Sweden,15,2025/04/09,Project Alder 2,Josefin Bergholtz,TB-Gruppen,Knivsta,Residential,"13,166","2,797","2,487",-,-,-,-,"Project Alder is a residential development in Alsike, Knivsta, offering 230 rental apartments. The project includes commercial premises and parking spaces, located near a future commuter train station. The development is designed to meet Miljöbyggnad Silver certification standards and includes significant green spaces."
Denmark,15,2025/04/09,Industriparken 25,Anthony Romano,Rema 1000,Nørager,Logistics,"23,096",352,297,-,30%,50,13.7%,"A warehouse/logistics property located in Nørager, Denmark with direct access to the E45 motorway. The property includes 33 loading docks with ramps and is partially leased to Nopa. The previous broker company marketed the property at over DKK 80M."
Sweden,15,2025/04/09,Project Draget 2,Albin Östmarck,Dragetgruppen,Various,Light Industrial,"19,882","1,285","1,163",2,100%,-,-,"The portfolio consists of twelve properties in Bålsta, Håbo Municipality, with a total of 19 buildings, including two under construction. "
Denmark,15,2025/04/10,Kollekollevej 39,Anthony Romano,"Generous Development, Krarup Ejendomme",Værløse,Residential,"3,510","1,904",-,-,-,-,-,"Kollekollevej 39 is a residential development in Værløse, designed to accommodate a mix of first-time homebuyers and downsizers seeking community living. The project is located near public transport and green spaces. "
Norway,15,2025/04/10,Project Nordkapp,David Hävermark,Grieg Seafood ASA,Finnmark,Aquaculture,"38,046","4,337",-,20,100%,-,-,"A salmon infrastructure facility in Finnmark, Norway, fully leased to Grieg Seafood Finnmark AS. The facility is undergoing a strategic upgrade to increase production capacity and produce larger post-smolt. "
Denmark,15,2025/04/10,Viby Bakke,Kristina Alderin,Nordstern,Various,Residential,"22,000",-,-,-,-,-,-,"Three development opportunities totaling up to 22,000 sqm of residential space. The first sub-projects are already underway, with construction of 7,700 sqm of rental apartments and 11,000 sqm of private care and senior housing scheduled to begin in 2025."
Sweden,16,2025/04/16,Project Geminii,Carl Rosén,Schroders,Various,Retail,"11,108",-,"1,882",8,100%,-,-,"Comprises two retail assets located in Täby and Lund, Sweden. Both properties are strategically positioned with access to major roads, reaching over 200,000 households within a 20-minute drive. The portfolio features well-performing tenants secured by long leases with a WAULT of 7.9 years. The properties can be sold together or separately."
Sweden,16,2025/04/16,Project Glimra,Josefin Bergholtz,"Sigillet Bostäder, VM Måleri AB Larsson & Robertsson, Västsundet El Förvaltning",Gothenburg,Residential,"1,751","1,627","1,057",-,100%,-,-,"Located in the Bellevue area of Gamlestaden, Göteborg, the property offers a residential setting with easy access to services and transportation. It is fully leased, including residential units and a small storage space, with parking facilities. The property has been actively managed and regularly renovated to maintain high standards "
Sweden,16,2025/04/16,Project Hirundo,Josefin Bergholtz,Einar Mattsson,Various,Residential,"85,638","1,501",669,-,99%,-,-,"Project Hirundo is a residential portfolio located in Hjulsta, Stockholm, featuring 1,194 apartments across 14 properties. The area benefits from good transport connections, including proximity to the metro and major highways. According to Sindi's platform, the area is facing significant socioeconomic challenges."
Sweden,17,2025/04/23,Project Metropolitan,David Hävermark,,Various,Logistics,"70,500","1,206",-,4,96%,-,-,Project Metropolitan comprises eight urban logistics assets in Gothenburg and Stockholm. The portfolio benefits from a diversified tenant mix and significant ESG enhancements. 
Sweden,17,2025/04/23,Project Flow 2,David Hävermark,ELIREF Holding SARL,Örebro,Logistics,"54,769",455,452,16,100%,-,-,"Logistics facility in Marieberg, Örebro. The asset is single-let to Dollarstore, serving as the tenant's main warehouse, with a long lease term remaining."
Finland,17,2025/04/22,Project Blue,Mathias Vuorelma,Invalidiliitto ry,Various,Public Use,"72,500",138,90,7,100%,-,-,"Project Blue comprises 19 care properties across 16 cities in Finland. The portfolio is anchored by three tenants, including Validia, Mehiläinen, and HUS. The properties are intended to be sold as a portfolio, and not as individual assets. "
Sweden,17,2025/04/24,Klyvären 1 and 3,Josefin Bergholtz,Vita Örn AB,Various,Mixed Use,"8,695","3,021","2,357",-,-,-,-,"Klyvären 1 and 3 are located in Västra Hamnen. The properties offer a mix of residential, retail, and office spaces. The area is well-connected with public transportation and is a sought-after location for both living and working. "
Sweden,17,2025/04/24,Småhusportfölj Fjugesta,Josefin Bergholtz,Lekebergs Måleri & Entreprenad AB,Various,Residential,"7,487","1,682","1,272",-,100%,-,-,The Småhusportfölj in Lekebergs kommun consists of 13 residential properties with good commuting options to Örebro and Karlskoga. The portfolio is fully leased with a low turnover rate and an active waiting list. The properties are primarily small houses built with investment support.
Sweden,17,2025/04/24,Inom Vallgraven,David Hävermark,,Göteborg,Mixed Use,"3,785",-,-,-,-,-,-,"Located in central Gothenburg, the property primarily consists of office space, complemented by residential and commercial units. It has significant rental uplift potential, with approximately SEK 4.4M in uncapitalised market rent. Once Västra Götalandsregionen vacates the premises, a total of 2,770 sqm will become available."
Sweden,17,2025/04/25,Klyvären 1 and 3 - 2,Josefin Bergholtz,Vita Örn AB,Various,Residential,"8,695","2,597","2,357",-,100%,-,-,"The properties are located in Västra Hamnen, Malmö. Both properties feature energy-efficient designs and offer a mix of residential and commercial spaces, catering to a diverse range of tenants."
Sweden,18,2025/04/29,Fackverket 1,Josefin Bergholtz,Myrkotten AB,Stockholm,Residential,"4,564","1,836",805,-,70%,-,-,"A property in Bandhagen, Stockholm, consisting of 72 residential units. The property offers development potential with zoning in progress for an additional 33 apartments, expected to be approved in early 2026. Currently, 26 units are vacant. "
Sweden,18,2025/04/29,Inom Vallgraven 2,David Hävermark,Vimpelkullen Fastigheter AB,Gothenburg,Mixed Use,"3,785","2,363","2,029",-,96%,-,-,"Located in central Gothenburg, the property primarily consists of office space, complemented by residential and commercial units. It has significant rental uplift potential, with approximately SEK 4.4M in uncapitalised market rent. Once Västra Götalandsregionen vacates the premises, a total of 2,770 sqm will become available."
Denmark,18,2025/04/30,Philip De Langes Allé 3,Anthony Romano,Freja Ejendomme,Copenhagen,Public Use,"1,720",-,-,-,-,-,-,"Located in Holmen in Copenhagen. The building, originally constructed in 1892, has previously been used for educational and cultural purposes, but is now vacant."
